time,solar_ac_gw,solar_dc_gw
2002-01-01 00:00:00+00:00,0.187,0.192
2002-02-01 00:00:00+00:00,0.189,0.194
2002-03-01 00:00:00+00:00,0.192,0.197
2002-04-01 00:00:00+00:00,0.198,0.203
2002-05-01 00:00:00+00:00,0.202,0.208
2002-06-01 00:00:00+00:00,0.208,0.214
2002-07-01 00:00:00+00:00,0.214,0.22
2002-08-01 00:00:00+00:00,0.22,0.226
2002-09-01 00:00:00+00:00,0.227,0.234
2002-10-01 00:00:00+00:00,0.234,0.242
2002-11-01 00:00:00+00:00,0.245,0.253
2002-12-01 00:00:00+00:00,0.278,0.29
2003-01-01 00:00:00+00:00,0.291,0.303
2003-02-01 00:00:00+00:00,0.293,0.304
2003-03-01 00:00:00+00:00,0.298,0.31
2003-04-01 00:00:00+00:00,0.307,0.319
2003-05-01 00:00:00+00:00,0.317,0.331
2003-06-01 00:00:00+00:00,0.328,0.342
2003-07-01 00:00:00+00:00,0.344,0.359
2003-08-01 00:00:00+00:00,0.358,0.375
2003-09-01 00:00:00+00:00,0.373,0.391
2003-10-01 00:00:00+00:00,0.388,0.408
2003-11-01 00:00:00+00:00,0.401,0.422
2003-12-01 00:00:00+00:00,0.412,0.434
2004-01-01 00:00:00+00:00,0.459,0.485
2004-02-01 00:00:00+00:00,0.472,0.499
2004-03-01 00:00:00+00:00,0.501,0.531
2004-04-01 00:00:00+00:00,0.54,0.574
2004-05-01 00:00:00+00:00,0.579,0.617
2004-06-01 00:00:00+00:00,0.63,0.674
2004-07-01 00:00:00+00:00,0.685,0.734
2004-08-01 00:00:00+00:00,0.73,0.783
2004-09-01 00:00:00+00:00,0.78,0.839
2004-10-01 00:00:00+00:00,0.835,0.899
2004-11-01 00:00:00+00:00,0.893,0.958
2004-12-01 00:00:00+00:00,1.011,1.086
2005-01-01 00:00:00+00:00,1.036,1.113
2005-02-01 00:00:00+00:00,1.05,1.128
2005-03-01 00:00:00+00:00,1.092,1.174
