timestamp_ms,pv_mwh
1419807600000,
1419811200000,
1419814800000,
1419818400000,
1419822000000,
1419825600000,
1419829200000,
1419832800000,
1419836400000,
1419840000000,
1419843600000,
1419847200000,
1419850800000,
1419854400000,
1419858000000,
1419861600000,
1419865200000,
1419868800000,
1419872400000,
1419876000000,
1419879600000,
1419883200000,
1419886800000,
1419890400000,
1419894000000,
1419897600000,
1419901200000,
1419904800000,
1419908400000,
1419912000000,
1419915600000,
1419919200000,
1419922800000,
1419926400000,
1419930000000,
1419933600000,
1419937200000,
1419940800000,
1419944400000,
1419948000000,
1419951600000,
1419955200000,
1419958800000,
1419962400000,
1419966000000,
1419969600000,
1419973200000,
1419976800000,
1419980400000,
1419984000000,
1419987600000,
1419991200000,
1419994800000,
1419998400000,
1420002000000,
1420005600000,
1420009200000,
1420012800000,
1420016400000,
1420020000000,
1420023600000,
1420027200000,
1420030800000,
1420034400000,
1420038000000,
1420041600000,
1420045200000,
1420048800000,
1420052400000,
1420056000000,
1420059600000,
1420063200000,
1420066800000,0.15
1420070400000,0.15
1420074000000,0.15
1420077600000,0.15
1420081200000,0.14
1420084800000,0.16
1420088400000,0.17
1420092000000,0.29
1420095600000,53.24
1420099200000,733.03
1420102800000,2012.45
1420106400000,3352.2
1420110000000,3961.19
1420113600000,3458.13
1420117200000,2116.83
1420120800000,666.65
1420124400000,53.3
1420128000000,0.16
1420131600000,0.14
1420135200000,0.15
1420138800000,0.15
1420142400000,0.16
1420146000000,0.15
1420149600000,0.16
1420153200000,0.15
1420156800000,0.16
1420160400000,0.17
1420164000000,0.17
1420167600000,0.17
1420171200000,0.19
1420174800000,0.15
1420178400000,0.23
1420182000000,44.31
1420185600000,267.86
1420189200000,729.56
1420192800000,1305.96
1420196400000,1740.84
1420200000000,1822.71
1420203600000,1255.3
1420207200000,476.39
1420210800000,48.04
1420214400000,0.15
1420218000000,0.14
1420221600000,0.13
1420225200000,0.15
1420228800000,0.16
1420232400000,0.17
1420236000000,0.17
1420239600000,0.16
1420243200000,0.17
1420246800000,0.17
1420250400000,0.18
1420254000000,0.17
1420257600000,0.16
1420261200000,0.18
1420264800000,0.19
1420268400000,68.78
1420272000000,620.03
1420275600000,1326.65
1420279200000,1732.11
1420282800000,1695.58
1420286400000,1173.64
1420290000000,610.71
1420293600000,194.41
1420297200000,21.81
