fold,train_start,train_end,test_start,test_end,train_days,test_days
1,2016-01-01 00:00:00+00:00,2022-01-14 23:00:00+00:00,2022-01-17 00:00:00+00:00,2022-04-16 23:00:00+00:00,2206,90
2,2016-01-01 00:00:00+00:00,2022-04-14 23:00:00+00:00,2022-04-17 00:00:00+00:00,2022-07-15 23:00:00+00:00,2296,90
3,2016-01-01 00:00:00+00:00,2022-07-13 23:00:00+00:00,2022-07-16 00:00:00+00:00,2022-10-13 23:00:00+00:00,2386,90
4,2016-01-01 00:00:00+00:00,2022-10-11 23:00:00+00:00,2022-10-14 00:00:00+00:00,2023-01-11 23:00:00+00:00,2476,90
5,2016-01-01 00:00:00+00:00,2023-01-09 23:00:00+00:00,2023-01-12 00:00:00+00:00,2023-04-11 23:00:00+00:00,2566,90
6,2016-01-01 00:00:00+00:00,2023-04-09 23:00:00+00:00,2023-04-12 00:00:00+00:00,2023-07-10 23:00:00+00:00,2656,90
7,2016-01-01 00:00:00+00:00,2023-07-08 23:00:00+00:00,2023-07-11 00:00:00+00:00,2023-10-08 23:00:00+00:00,2746,90
8,2016-01-01 00:00:00+00:00,2023-10-06 23:00:00+00:00,2023-10-09 00:00:00+00:00,2024-01-06 23:00:00+00:00,2836,90
9,2016-01-01 00:00:00+00:00,2024-01-04 23:00:00+00:00,2024-01-07 00:00:00+00:00,2024-04-05 23:00:00+00:00,2926,90
10,2016-01-01 00:00:00+00:00,2024-04-03 23:00:00+00:00,2024-04-06 00:00:00+00:00,2024-07-04 23:00:00+00:00,3016,90
11,2016-01-01 00:00:00+00:00,2024-07-02 23:00:00+00:00,2024-07-05 00:00:00+00:00,2024-10-02 23:00:00+00:00,3106,90
12,2016-01-01 00:00:00+00:00,2024-09-30 23:00:00+00:00,2024-10-03 00:00:00+00:00,2024-12-31 23:00:00+00:00,3196,90
