stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,R0_climatology,-,0,1,539,2322.927639860821,3639.0604648350945,-316.4753031973128,0.06415718249321384,0.0981932453488152,-0.007878507951504733,cap_roll,True
month,R0_climatology,-,0,2,747,3850.2236362470344,4984.525437124106,232.6760607954218,0.11103851383613243,0.14544564590202777,0.005195088180284313,cap_roll,True
month,R0_climatology,-,0,3,995,4905.868461951767,6207.127899374046,-795.969042160915,0.14267999232544454,0.18295612545751558,-0.027086513007684047,cap_roll,True
month,R0_climatology,-,0,4,1137,4546.678133388396,6052.631864363458,1123.9215134254903,0.13012749071912888,0.17367345953420654,0.03222250295979549,cap_roll,True
month,R0_climatology,-,0,5,1325,3475.1019377162766,4793.224273324199,-1295.2928880413135,0.09665732828857004,0.13285982730960197,-0.037169980133049486,cap_roll,True
month,R0_climatology,-,0,6,1350,3554.028416134592,4778.9337878639135,-1552.6493057815771,0.09765046249778192,0.13070286534787848,-0.04385734962039944,cap_roll,True
month,R0_climatology,-,0,7,1385,3573.0747131405433,5001.526169674358,-961.6922124887843,0.09508403646677133,0.13260372404726442,-0.025652306783260977,cap_roll,True
month,R0_climatology,-,0,8,1219,4043.546410354671,5284.057738349286,-1144.9387873276548,0.10627795712504265,0.13868713347142883,-0.02922214668144794,cap_roll,True
month,R0_climatology,-,0,9,1022,4738.646735312877,5937.237886158392,-653.3117125915867,0.1234548702226921,0.15393746673771458,-0.016702639859931086,cap_roll,True
month,R0_climatology,-,0,10,876,3376.9733048872135,4464.669758727911,-386.58488857518637,0.08914692930295869,0.11882220414137291,-0.011623715882579188,cap_roll,True
month,R0_climatology,-,0,11,694,2572.853175831339,3411.1648673012483,73.25588462432813,0.06754152204259574,0.08966950373123919,0.0005073511669802057,cap_roll,True
month,R0_climatology,-,0,12,582,1890.2847998865325,2455.07598760411,483.79881541154737,0.049412699312972506,0.06385473749744408,0.013784740022162019,cap_roll,True
kt_bin,R0_climatology,-,0,bedeckt,453,5799.6940450535585,7074.054862265683,5795.649631811869,0.15876384152254044,0.19329099191256507,0.15865120211646466,cap_roll,True
kt_bin,R0_climatology,-,0,teilbewölkt,5297,3288.4569311333667,4467.010078605968,2255.793679412309,0.08939784373146933,0.12197620188885845,0.06151060382266172,cap_roll,True
kt_bin,R0_climatology,-,0,klar,6121,3937.255491284604,5306.284708935968,-3479.6791674437486,0.10831997081956493,0.14665873876207308,-0.09587585076139228,cap_roll,True
hour,R0_climatology,-,0,4,282,518.464501328224,622.2621693953241,-243.11039301049308,0.01415011733618597,0.01691516528353735,-0.0066624319860879265,cap_roll,True
hour,R0_climatology,-,0,5,497,1346.9556933630327,1655.5470143389307,-465.8907885079847,0.03667901149571393,0.044959634684760635,-0.012667249614909854,cap_roll,True
hour,R0_climatology,-,0,6,687,2498.0063919546164,3118.8872959571754,-661.0239454204087,0.0680767911042641,0.08490618528957602,-0.018105292493891242,cap_roll,True
hour,R0_climatology,-,0,7,869,3585.3989341848746,4498.907007959106,-715.3275275935675,0.09792765299907291,0.12293697668358859,-0.0199657485601773,cap_roll,True
hour,R0_climatology,-,0,8,1080,4168.521908321745,5352.747083116856,-642.4586426678921,0.11404847341492617,0.14683612403724894,-0.01815063094050014,cap_roll,True
hour,R0_climatology,-,0,9,1080,4981.782589227079,6207.93270846406,-662.1423172683759,0.1364184302022044,0.17068134631996232,-0.01887509974812188,cap_roll,True
hour,R0_climatology,-,0,10,1080,5339.680824195826,6608.481330885015,-627.6841359602546,0.14624376552661894,0.18190742241586377,-0.01797241053242436,cap_roll,True
hour,R0_climatology,-,0,11,1080,5288.311722660598,6583.2679566618135,-575.7241764299657,0.14488992663959313,0.18140072358851272,-0.01652203015616722,cap_roll,True
hour,R0_climatology,-,0,12,1080,4924.171421241716,6200.93628958102,-550.2184301938277,0.13490460429765877,0.17092253980938305,-0.01572122514797745,cap_roll,True
hour,R0_climatology,-,0,13,1080,4263.7103990946525,5487.353677408856,-551.8832188514924,0.11685352417218467,0.15130550143992688,-0.01562733764262517,cap_roll,True
hour,R0_climatology,-,0,14,1011,3482.324233110747,4560.819903897461,-546.2456862616468,0.0955042632390006,0.12559121046798302,-0.015315323376178901,cap_roll,True
hour,R0_climatology,-,0,15,795,2789.4508876329105,3547.4347638512713,-565.481127530402,0.07644365032371968,0.0971306094743261,-0.015618063624934385,cap_roll,True
hour,R0_climatology,-,0,16,620,1703.4762721168802,2157.1616979491055,-442.0932645306474,0.04650261787165415,0.05864188013514587,-0.012018143733065523,cap_roll,True
hour,R0_climatology,-,0,17,429,821.7252498336419,1005.157027393497,-302.8658197968019,0.022287183688377708,0.027083482691491672,-0.00826432655682506,cap_roll,True
hour,R0_climatology,-,0,18,201,339.705196841425,398.8100627142538,-219.6065432078217,0.009211407346742976,0.010770406577554377,-0.0060069082514446264,cap_roll,True
cf_quantile,R0_climatology,-,0,Q1,2374,1456.5500844395776,2140.559120810356,1044.0068084269963,0.03954530055320888,0.058413257399988046,0.02841965821869582,cap_roll,True
cf_quantile,R0_climatology,-,0,Q2,2374,2582.7552937183586,3733.7931511138486,1342.9892306871293,0.07042284389213288,0.10205344104231706,0.03672488772331291,cap_roll,True
cf_quantile,R0_climatology,-,0,Q3,2375,4071.4685138309537,5330.7432599790445,1259.6654604531032,0.11128555697724225,0.14640258700726974,0.03454206916529703,cap_roll,True
cf_quantile,R0_climatology,-,0,Q4,2374,4228.918202573055,5137.982351778447,-483.82493577706214,0.11529851745390869,0.14005948228237552,-0.013908192450225778,cap_roll,True
cf_quantile,R0_climatology,-,0,Q5,2374,6254.278908075768,7301.959397166286,-5996.032623742088,0.17245184779784747,0.20223001791191575,-0.1654751208762248,cap_roll,True
