stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,R1_persistence,-,0,1,539,2580.2073283859,3986.1876042242957,-73.26855287569573,0.07126048121682742,0.1078081190655714,-0.002034138505409484,cap_roll,True
month,R1_persistence,-,0,2,747,4260.6050870147255,5776.224504374208,-868.347389558233,0.12279071606314822,0.16728573465173813,-0.02541346799193979,cap_roll,True
month,R1_persistence,-,0,3,995,4602.512569030689,6544.874659563487,181.75137130315943,0.13030992604213285,0.18564583345150518,0.005889807898600957,cap_roll,True
month,R1_persistence,-,0,4,1137,5295.925009156441,7080.89288431153,-695.598061113675,0.15096117408181114,0.20152835987133869,-0.019931442551512742,cap_roll,True
month,R1_persistence,-,0,5,1325,4116.4554273385875,5883.087173555847,11.137424246273344,0.11486969405289983,0.16337302444032428,-0.00043864970688346414,cap_roll,True
month,R1_persistence,-,0,6,1350,3528.230185004354,5005.1057715160605,143.08982617747458,0.09619285508330416,0.13555156397866833,0.0038738121628015933,cap_roll,True
month,R1_persistence,-,0,7,1385,4158.69633378006,5967.456448174968,-42.40771557937978,0.11022130227750916,0.15764558520845087,-0.0009761082125319017,cap_roll,True
month,R1_persistence,-,0,8,1219,4219.9861233607335,5917.490516578432,211.69108372959286,0.11010101620664371,0.15406261196562207,0.0053224559240427835,cap_roll,True
month,R1_persistence,-,0,9,1022,4603.671838958451,6555.523272505538,292.2271343920178,0.12007927788392854,0.17040391800076704,0.007430496964423104,cap_roll,True
month,R1_persistence,-,0,10,876,4048.0336757990867,5449.569311744238,609.783105022831,0.10635945833188447,0.14341411728072792,0.015484569715402673,cap_roll,True
month,R1_persistence,-,0,11,694,2288.3746397694526,3368.8718783992313,301.0821325648415,0.05970539073203662,0.08739294645997091,0.008709494367444486,cap_roll,True
month,R1_persistence,-,0,12,582,1923.000859106529,2805.801749189706,4.804982817869428,0.04965739539317934,0.07106743253513935,-0.00047125862970467155,cap_roll,True
kt_bin,R1_persistence,-,0,bedeckt,453,4169.973877862387,5871.366741833565,3753.8127299595176,0.11345042339969397,0.1588815248419405,0.10174766477915927,cap_roll,True
kt_bin,R1_persistence,-,0,teilbewölkt,5297,4352.209672773167,5973.89705115931,1993.5927039680737,0.11793223255542473,0.16196750256698364,0.054018432324408075,cap_roll,True
kt_bin,R1_persistence,-,0,klar,6121,3645.0642060614996,5460.984510875195,-1977.9314853498897,0.09974115539088518,0.14944337849444053,-0.05430421724254877,cap_roll,True
hour,R1_persistence,-,0,4,282,492.4743558761435,629.4909591636335,6.504738204762919,0.013324210581484856,0.016900466821025646,0.00010708042007602277,cap_roll,True
hour,R1_persistence,-,0,5,497,1406.8724941560274,1848.444222423992,3.1520429596261,0.03819099673085929,0.049861579170147934,-0.00011136865021743313,cap_roll,True
hour,R1_persistence,-,0,6,687,2713.837361623615,3608.696702656623,8.192394231691118,0.07364592933985452,0.09753533083731003,-7.255431341282419e-05,cap_roll,True
hour,R1_persistence,-,0,7,869,3896.7999418971795,5239.1899626041295,14.708558347919347,0.105969796517216,0.14209571987761743,1.978940119761184e-05,cap_roll,True
hour,R1_persistence,-,0,8,1080,4511.916957014013,6200.067287497894,14.605957252664538,0.12274714273689419,0.16858494814700875,7.332913094782724e-06,cap_roll,True
hour,R1_persistence,-,0,9,1080,5348.826068964054,7121.930148668602,16.20606606241639,0.14551835585927353,0.1937683414075271,1.4318211131196472e-05,cap_roll,True
hour,R1_persistence,-,0,10,1080,5706.281139983007,7524.565830013057,16.299305125203965,0.15525863793133515,0.20484575293623328,-1.7888355814777701e-06,cap_roll,True
hour,R1_persistence,-,0,11,1080,5661.810148218391,7445.811839666283,15.806635712023747,0.15415018463157631,0.2030273498620131,-2.1935941513748532e-05,cap_roll,True
hour,R1_persistence,-,0,12,1080,5292.438146280189,6997.679731004324,15.030110524302142,0.1441959886027615,0.19095094316728717,-3.683634607697281e-05,cap_roll,True
hour,R1_persistence,-,0,13,1080,4582.634220584305,6161.773594620587,14.385533046993691,0.1250038239185351,0.16831120796450205,-3.130216118981184e-05,cap_roll,True
hour,R1_persistence,-,0,14,1011,3720.8512040283817,5059.1913918021755,13.731685386807383,0.10166896144201433,0.13809026967281562,-1.431890646054321e-05,cap_roll,True
hour,R1_persistence,-,0,15,795,2963.042745820253,3861.2460533441936,9.722248878882384,0.08086076708350823,0.10479047776490813,-0.00010896553823257542,cap_roll,True
hour,R1_persistence,-,0,16,620,1757.088628066725,2279.468092974635,12.548121982216916,0.04773149225817048,0.06134637214836528,8.592974509095399e-05,cap_roll,True
hour,R1_persistence,-,0,17,429,741.3867030051816,968.9888405555333,3.9896484905125584,0.020019521857256802,0.025814380907966988,-1.3570569205643425e-05,cap_roll,True
hour,R1_persistence,-,0,18,201,239.81782606474937,330.56406068159487,4.8988618906009584,0.00645391096367009,0.008785515491272813,9.201130639069272e-05,cap_roll,True
cf_quantile,R1_persistence,-,0,Q1,2374,1158.4487923963175,1884.2819323684325,625.3340159530005,0.03122487001039379,0.05026766075276754,0.0167108118056168,cap_roll,True
cf_quantile,R1_persistence,-,0,Q2,2374,2745.6846229557755,3940.4197381069193,1063.665188885266,0.07457451469497146,0.1072043797139615,0.028842313611704532,cap_roll,True
cf_quantile,R1_persistence,-,0,Q3,2375,4554.34466255149,6080.384483916173,1461.1378289504732,0.12416834892373672,0.1660413891363447,0.0395243919820954,cap_roll,True
cf_quantile,R1_persistence,-,0,Q4,2374,5556.076031347393,6953.876820004589,121.28710165569682,0.15085647302525942,0.1881992906232448,0.0029626972242234456,cap_roll,True
cf_quantile,R1_persistence,-,0,Q5,2374,5888.367737417523,7660.14224660702,-3207.3306392629192,0.16107618148583686,0.20955568801962593,-0.08812796102897899,cap_roll,True
