model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
R2_clearsky_persistence,-,0,history_only,1,0,880,4034.160845652351,5456.017521468536,-1784.6837582870212,0.1258662717851218,0.17024692939517036,-0.05580437882192545,cap_roll,True,0.020927717138523483
R2_clearsky_persistence,-,0,history_only,2,0,1298,3588.485025227331,5029.572026336653,-852.2777537778557,0.10727090163842963,0.15043284863978637,-0.025763666948401917,cap_roll,True,-0.2478966215863454
R2_clearsky_persistence,-,0,history_only,3,0,1115,4014.891334362602,5486.072439878622,-923.7389861621841,0.11450867485653807,0.15641993781430621,-0.02627797829327379,cap_roll,True,-0.12421217307929577
R2_clearsky_persistence,-,0,history_only,4,0,664,2386.9119599900955,3269.2085708862915,-339.61205636425484,0.06778938280247712,0.09284700692264729,-0.009645136510736006,cap_roll,True,-0.13129443230599236
R2_clearsky_persistence,-,0,history_only,5,0,848,4324.882828279595,5942.4076300617535,-619.6471991508001,0.12282715550386596,0.16876415388296484,-0.01759769296187803,cap_roll,True,-0.1325341566375169
R2_clearsky_persistence,-,0,history_only,6,0,1288,4462.368265878795,5970.276836067862,-348.5837927428353,0.12460940853321467,0.16737600747473624,-0.010120970542418329,cap_roll,True,-0.22902640577514188
R2_clearsky_persistence,-,0,history_only,7,0,1140,4046.970532783304,5556.233783985469,-776.171712847972,0.10712899220029366,0.14707470016690768,-0.020538754714379624,cap_roll,True,-0.17202114198038032
R2_clearsky_persistence,-,0,history_only,8,0,681,2759.862598632105,3888.720213838882,-231.06216868722677,0.07302426629550601,0.10289314424016423,-0.006113762817538878,cap_roll,True,-0.1580573762045019
R2_clearsky_persistence,-,0,history_only,9,0,821,4367.756193706267,6161.281608362588,-1387.696339162851,0.11554043569455055,0.16298416612329655,-0.036711403633092554,cap_roll,True,-0.1174543843609761
R2_clearsky_persistence,-,0,history_only,10,0,1274,5131.491715881064,6902.628388128472,-1595.6738980958578,0.13273995724112414,0.17870367276326538,-0.041592984479443255,cap_roll,True,-0.3720175538871815
R2_clearsky_persistence,-,0,history_only,11,0,1166,5364.497383874456,7192.726209722802,-1850.328439122411,0.12962413775282045,0.17404414830879736,-0.04477354062684164,cap_roll,True,-0.26067533953444366
R2_clearsky_persistence,-,0,history_only,12,0,696,3072.3049388438376,4308.60511644438,-643.2358060671526,0.07286213434256279,0.1021819679597178,-0.015254844375327082,cap_roll,True,-0.2971401829756122
