stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,R2_clearsky_persistence,-,0,1,539,2708.458898961682,3872.010377256944,445.10895502839765,0.07528177883206798,0.10567972988275924,0.01298407390131465,cap_roll,True
month,R2_clearsky_persistence,-,0,2,747,3802.0241568173733,5280.476697261919,-1669.9299508770698,0.10954356656908941,0.15266882273812318,-0.04834579058688121,cap_roll,True
month,R2_clearsky_persistence,-,0,3,995,4654.22381309853,6251.320449602649,-1574.9374467817127,0.1331891470546982,0.1787497696649352,-0.04568856308373509,cap_roll,True
month,R2_clearsky_persistence,-,0,4,1137,5131.376095888396,6900.328600747605,-1231.5224417000234,0.14577668651628292,0.19570144786365842,-0.03551332839395432,cap_roll,True
month,R2_clearsky_persistence,-,0,5,1325,4406.43614183747,6001.72329408737,-1174.664501623487,0.1228474710454734,0.16671786658818286,-0.03309587975879873,cap_roll,True
month,R2_clearsky_persistence,-,0,6,1350,4060.004476531497,5549.62340369536,-683.2202080020105,0.11052443151743009,0.14929699284908632,-0.01790192957307627,cap_roll,True
month,R2_clearsky_persistence,-,0,7,1385,4388.707439745218,6107.16577663069,-512.4794459549784,0.11638747512155467,0.161189810196561,-0.012979017147683972,cap_roll,True
month,R2_clearsky_persistence,-,0,8,1219,4562.089126583812,6162.338697322543,-1033.0073230964426,0.1190388197674878,0.1602120710665603,-0.026354038302994983,cap_roll,True
month,R2_clearsky_persistence,-,0,9,1022,4572.149143094937,6301.045458695863,-1995.7621033822252,0.11903900206811563,0.16341458972291964,-0.05194374444798409,cap_roll,True
month,R2_clearsky_persistence,-,0,10,876,3809.495814789158,5213.098550778496,-1709.4746761243719,0.09980876537063336,0.13702507673042794,-0.04528494625456253,cap_roll,True
month,R2_clearsky_persistence,-,0,11,694,2288.302195313184,3215.3134393091254,-77.06683919224433,0.05927154695222564,0.08217968566335923,-0.0026551827700869867,cap_roll,True
month,R2_clearsky_persistence,-,0,12,582,2357.2735176079423,3046.529953066966,493.19713365647993,0.061573063431043164,0.07953329117217262,0.013628998811800056,cap_roll,True
kt_bin,R2_clearsky_persistence,-,0,bedeckt,453,3905.317114001241,5081.54439805312,3555.1286766083463,0.10700790186069431,0.13928665555369574,0.09718129520328347,cap_roll,True
kt_bin,R2_clearsky_persistence,-,0,teilbewölkt,5297,3967.910064216151,5279.234393469382,985.5224116171269,0.10727314488528812,0.14263576366012598,0.027138144453925234,cap_roll,True
kt_bin,R2_clearsky_persistence,-,0,klar,6121,4232.498038448622,6087.331176494495,-3031.6979697196653,0.11572013723402576,0.16592306983065952,-0.08291397461380938,cap_roll,True
hour,R2_clearsky_persistence,-,0,4,282,1101.1777139453293,1311.9977529569053,954.9485437093338,0.03026456350297506,0.03604243795522493,0.026349721362143613,cap_roll,True
hour,R2_clearsky_persistence,-,0,5,497,1724.5163346584286,2233.0793491199765,942.725381935945,0.04699023266560667,0.06073768516489239,0.02600580809562988,cap_roll,True
hour,R2_clearsky_persistence,-,0,6,687,2644.8055244359916,3498.387722222996,1.383698026281768,0.07182311315513648,0.09456873935810788,0.0002908181880523029,cap_roll,True
hour,R2_clearsky_persistence,-,0,7,869,3791.068448565551,5032.720227895758,-1043.8194118810136,0.10307691210349436,0.13637525488148905,-0.028358467982675405,cap_roll,True
hour,R2_clearsky_persistence,-,0,8,1080,4504.4998479831,6037.672969345092,-1468.2473232412317,0.12257414809786579,0.16400778618149223,-0.04001382474240047,cap_roll,True
hour,R2_clearsky_persistence,-,0,9,1080,5381.728468729767,7003.685465878673,-1723.5130932168872,0.14641370063973522,0.19031921400315807,-0.04702474611627544,cap_roll,True
