model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
lightgbm,S3,0,perfect_prog,1,42,880,1231.5582896984356,1717.8068815531633,-406.902426121916,0.03842085827396168,0.0535784273399752,-0.012712855745424296,cap_roll,True,0.7011367947403409
lightgbm,S3,0,perfect_prog,1,43,880,1254.8519056875991,1749.7424081942095,-417.7490327497727,0.03914585158617638,0.05457290317741658,-0.013050603270810262,cap_roll,True,0.6954973104910485
lightgbm,S3,0,perfect_prog,1,44,880,1270.4243666737652,1757.8127481460904,-426.34988758023803,0.03963282123651664,0.054826754716431586,-0.013320298489864631,cap_roll,True,0.6917093339308398
lightgbm,S3,0,perfect_prog,2,42,1298,1345.3965492596303,1845.2937241909456,-613.7228130793933,0.04019321518780728,0.05511086826253612,-0.01843096851599372,cap_roll,True,0.53242699858515
lightgbm,S3,0,perfect_prog,2,43,1298,1318.6074454091904,1817.8492753094213,-613.2592739400598,0.0394050057451443,0.05431077776883477,-0.018418079060799616,cap_roll,True,0.5415963435387047
lightgbm,S3,0,perfect_prog,2,44,1298,1334.1646498258212,1850.7048784127046,-607.1054252798921,0.039868598679801116,0.0553007506291195,-0.018228875000411215,cap_roll,True,0.5362033054630156
lightgbm,S3,0,perfect_prog,3,42,1115,1235.1792779696866,1694.9986102226237,-473.3324999126299,0.03522827519086532,0.04834095200086978,-0.01350626325211197,cap_roll,True,0.6541392531546104
lightgbm,S3,0,perfect_prog,3,43,1115,1226.8629998597767,1682.8882410244926,-461.5106554921423,0.03499175812002996,0.04799762074015598,-0.013170481615852561,cap_roll,True,0.6564613075361434
lightgbm,S3,0,perfect_prog,3,44,1115,1231.041067189311,1699.205315650903,-472.31420894048244,0.03510961371978047,0.04845937049854034,-0.013478610640577031,cap_roll,True,0.655304236248129
lightgbm,S3,0,perfect_prog,4,42,664,1026.6784711554562,1419.0499922468416,14.344421534247864,0.02915813446948751,0.04030166371979321,0.00040738808081939654,cap_roll,True,0.5133982075353061
lightgbm,S3,0,perfect_prog,4,43,664,1022.9374019390527,1414.1115210981345,13.391306440213091,0.02905188640611009,0.040161408898178395,0.00038031917964190357,cap_roll,True,0.5151713147325261
lightgbm,S3,0,perfect_prog,4,44,664,1033.0565015147567,1415.8697064132232,19.612628495392954,0.029339273425929888,0.04021134215896055,0.0005570075491357786,cap_roll,True,0.5103752932613397
lightgbm,S3,0,perfect_prog,5,42,848,1356.3599862809929,1840.0303299371667,-202.37183384351786,0.03852084130908892,0.0522569703226822,-0.005747184328307283,cap_roll,True,0.644816585176203
lightgbm,S3,0,perfect_prog,5,43,848,1364.7719411076062,1853.1807085539717,-200.00862466003557,0.03875974519214073,0.052630434143795625,-0.00568006013493298,cap_roll,True,0.6426137595339452
lightgbm,S3,0,perfect_prog,5,44,848,1359.0852609852686,1842.9279943617792,-197.9725939597378,0.03859823893837438,0.052339241856488396,-0.005622234977507079,cap_roll,True,0.6441029363218518
lightgbm,S3,0,perfect_prog,6,42,1288,1262.5063460813187,1809.522082480573,-315.47715545895795,0.03523041392220752,0.05060048297261771,-0.009130021214014706,cap_roll,True,0.6525213504625549
lightgbm,S3,0,perfect_prog,6,43,1288,1245.8655757125528,1785.3238038698455,-315.9472146460819,0.034764355912042084,0.049923558043267535,-0.00913863248498985,cap_roll,True,0.657118094864593
lightgbm,S3,0,perfect_prog,6,44,1288,1252.8450501827729,1796.1632318521492,-302.17927189156796,0.03496002377787535,0.050229295926227886,-0.008756135436087631,cap_roll,True,0.6551882167221521
lightgbm,S3,0,perfect_prog,7,42,1140,1284.057174734015,1819.993963649412,-342.50324189030493,0.033990083976503625,0.04817587414819114,-0.009064467672469517,cap_roll,True,0.6281389732139979
lightgbm,S3,0,perfect_prog,7,43,1140,1292.9566978568992,1812.5522249600774,-345.5157370264571,0.0342257843148148,0.04797914467460462,-0.009144495026208064,cap_roll,True,0.6255603455801624
lightgbm,S3,0,perfect_prog,7,44,1140,1295.6331686862843,1835.87972266884,-354.1069209452439,0.034296502518364476,0.04859633091106993,-0.009371743538931667,cap_roll,True,0.6247866686512492
lightgbm,S3,0,perfect_prog,8,42,681,938.0086365822413,1409.937920319372,28.505982347507857,0.02481913139415567,0.037306089877287577,0.0007542507540017177,cap_roll,True,0.6064051083282228
lightgbm,S3,0,perfect_prog,8,43,681,938.4888182330076,1408.1926442038562,39.00040872542337,0.024831836705192945,0.03725991094508937,0.0010319268190418097,cap_roll,True,0.6062036207966104
lightgbm,S3,0,perfect_prog,8,44,681,943.2391139830455,1413.3271502361426,32.124109108093656,0.024957526608018223,0.037395766815589364,0.0008499841619571956,cap_roll,True,0.6042103639456313
lightgbm,S3,0,perfect_prog,9,42,821,1746.6329167672636,2389.8148740227257,-810.2822047712028,0.04620261590714681,0.06321286408184974,-0.021433578305209238,cap_roll,True,0.5531493766314188
lightgbm,S3,0,perfect_prog,9,43,821,1746.6329167672636,2389.8148740227257,-810.2822047712028,0.04620261590714681,0.06321286408184974,-0.021433578305209238,cap_roll,True,0.5531493766314188
lightgbm,S3,0,perfect_prog,9,44,821,1746.6329167672636,2389.8148740227257,-810.2822047712028,0.04620261590714681,0.06321286408184974,-0.021433578305209238,cap_roll,True,0.5531493766314188
lightgbm,S3,0,perfect_prog,10,42,1274,2098.1890744378884,2853.9150055159644,-1732.2928728266427,0.05425101018630179,0.0738027548934907,-0.04480088861512653,cap_roll,True,0.43925446535658397
lightgbm,S3,0,perfect_prog,10,43,1274,2096.1449667931743,2857.4033775244025,-1729.3328819631138,0.05420079810623694,0.07389978145118413,-0.04473427891141998,cap_roll,True,0.43977346398139905
lightgbm,S3,0,perfect_prog,10,44,1274,2085.339741551494,2843.4246478678106,-1713.7224930904576,0.053924481735434085,0.0735441381450358,-0.04433292438164198,cap_roll,True,0.44262950611857754
lightgbm,S3,0,perfect_prog,11,42,1166,1927.1837640582628,2578.944696353821,-1511.7534165395477,0.046616789723133975,0.06251546438734773,-0.03668320677632393,cap_roll,True,0.5466227337667365
lightgbm,S3,0,perfect_prog,11,43,1166,1927.1837640582628,2578.944696353821,-1511.7534165395477,0.046616789723133975,0.06251546438734773,-0.03668320677632393,cap_roll,True,0.5466227337667365
lightgbm,S3,0,perfect_prog,11,44,1166,1927.1837640582628,2578.944696353821,-1511.7534165395477,0.046616789723133975,0.06251546438734773,-0.03668320677632393,cap_roll,True,0.5466227337667365
lightgbm,S3,0,perfect_prog,12,42,696,1451.3696311389228,1977.5827136138785,-115.960371135178,0.03442037530446295,0.046899933509558525,-0.002750091643977348,cap_roll,True,0.3872255826242119
lightgbm,S3,0,perfect_prog,12,43,696,1453.111640014735,1981.7225478648209,-102.85612554508155,0.03446168841864332,0.04699811294335575,-0.002439314126234316,cap_roll,True,0.38649009908436305
lightgbm,S3,0,perfect_prog,12,44,696,1448.6035412594606,1962.0886822639154,-96.17392152615963,0.03435477530172466,0.046532480338014395,-0.0022808403885608954,cap_roll,True,0.3883934375096464
