stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,lightgbm,S3,0,1,1617,941.1022224570806,1358.8447838927912,88.91341666809825,0.026226260227441137,0.03744918428384247,0.002719549350827226,cap_roll,True
month,lightgbm,S3,0,2,2241,1336.8834466840462,1860.7005893263301,-507.84698736996006,0.03819277624366844,0.053314631975104464,-0.01460824326615718,cap_roll,True
month,lightgbm,S3,0,3,2985,1630.573857985432,2234.445234323465,-452.3472436666317,0.046047006570473156,0.06220475335237867,-0.012214255220743798,cap_roll,True
month,lightgbm,S3,0,4,3411,1563.7187542621898,2133.543411013414,-945.6788820261681,0.04437361686079357,0.060253265648646415,-0.02654863182629791,cap_roll,True
month,lightgbm,S3,0,5,3975,1575.8563240058945,2172.663022625858,-1078.3720166734747,0.04386404190266569,0.060340796908856964,-0.029799518551159344,cap_roll,True
month,lightgbm,S3,0,6,4050,1704.025244851654,2456.797406360356,-789.270339924243,0.04626968046549754,0.06578090026717578,-0.020889300727793356,cap_roll,True
month,lightgbm,S3,0,7,4155,1434.3607080473892,2093.351876861319,-734.0375523359666,0.03775381958919602,0.0543841144210064,-0.018631691044506186,cap_roll,True
month,lightgbm,S3,0,8,3657,1550.4291734810495,2107.168495510563,-919.9283807496003,0.04014512683773445,0.05406248777093215,-0.023152065870761865,cap_roll,True
month,lightgbm,S3,0,9,3066,1344.698761190929,1864.4377427673548,-635.7182518080187,0.03499093898209029,0.04825033358211532,-0.01652695291924861,cap_roll,True
month,lightgbm,S3,0,10,2628,1306.8812145670693,1823.5349788848062,-385.09156593989337,0.034119696636872796,0.047570787856202126,-0.010094577905319911,cap_roll,True
month,lightgbm,S3,0,11,2082,1205.5435064215956,1716.9200063102396,102.70189962339578,0.030936456867613014,0.043339034641240934,0.001969167623000047,cap_roll,True
month,lightgbm,S3,0,12,1746,1026.3629836402126,1414.5186114719904,153.19301904691213,0.026853618034615938,0.037342478887835845,0.004616017020534754,cap_roll,True
kt_bin,lightgbm,S3,0,bedeckt,1359,840.4315320178034,1199.2523509515297,-392.30926335808283,0.023014649867435413,0.03271807110362289,-0.010767750739152093,cap_roll,True
kt_bin,lightgbm,S3,0,teilbewölkt,15891,1570.3584473215321,2186.5648908253524,-603.4461587053635,0.04213811153155742,0.058180625874778694,-0.015771475682213806,cap_roll,True
kt_bin,lightgbm,S3,0,klar,18363,1376.4871828479647,1951.4091701781028,-643.9458850067219,0.03755309482174507,0.05307693935981764,-0.01744137420772225,cap_roll,True
hour,lightgbm,S3,0,4,846,233.9561423190534,307.7903784425295,-127.41721423391402,0.006301963905950823,0.008176542761435176,-0.003304624727069842,cap_roll,True
hour,lightgbm,S3,0,5,1491,561.69312979939,746.5973212615345,-327.0224372984344,0.015132386544421934,0.0198793539188351,-0.008708169666751543,cap_roll,True
hour,lightgbm,S3,0,6,2061,986.5252555635188,1347.1323943939676,-544.3914971341565,0.026658331692819687,0.036050951308843025,-0.014475287240849262,cap_roll,True
hour,lightgbm,S3,0,7,2607,1338.1041791180062,1786.8795076134518,-653.6120422634333,0.03632365256436629,0.048266640765246845,-0.01753627308118397,cap_roll,True
hour,lightgbm,S3,0,8,3240,1497.770834756843,2025.6191995752674,-676.7678782700116,0.0405954101558596,0.05470903645873484,-0.018168437967922366,cap_roll,True
hour,lightgbm,S3,0,9,3240,1803.077848214009,2369.7990680285207,-765.3455937931574,0.04881041670545074,0.06394700217888044,-0.02049429177011658,cap_roll,True
hour,lightgbm,S3,0,10,3240,1985.0358571379434,2566.154460788332,-766.9066474089254,0.053684403155914336,0.06894186643221573,-0.020553936606741208,cap_roll,True
hour,lightgbm,S3,0,11,3240,2057.848133721817,2633.8590221033496,-765.1181174547963,0.055723863405154214,0.0709069300158616,-0.020529825926691236,cap_roll,True
hour,lightgbm,S3,0,12,3240,1931.5402652675953,2527.517632232994,-709.4715003191649,0.05220864452806061,0.06785298534179451,-0.018943063864287655,cap_roll,True
hour,lightgbm,S3,0,13,3240,1768.9968492277162,2383.146392294767,-706.309515962815,0.0479106176603476,0.06414285624274696,-0.018906067267746532,cap_roll,True
hour,lightgbm,S3,0,14,3033,1436.4900503060007,2008.697381012684,-673.087512942996,0.038928475436956614,0.053872978280905155,-0.01783055248344133,cap_roll,True
hour,lightgbm,S3,0,15,2385,1156.6632687386227,1603.0824991917868,-525.340592226847,0.03134971192040754,0.04298417861087711,-0.013778785103657801,cap_roll,True
hour,lightgbm,S3,0,16,1860,716.7205706866467,981.6833081234262,-353.5084987530993,0.01930537773236176,0.02605044732365279,-0.009169799759670137,cap_roll,True
