model,featureset,context_rows,information_set,fold,seed,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only,skill
ridge,S3,0,perfect_prog,1,42,880,1917.528125373327,2674.7327024991846,-1256.507005116887,0.05986910594750734,0.08356285519553572,-0.03925889912389176,cap_roll,True,0.5342979385853993
ridge,S3,0,perfect_prog,2,42,1298,1568.9680913068514,2117.3006934330774,-296.9517232917431,0.04687709808447888,0.06331297127659648,-0.009039803331006516,cap_roll,True,0.4546725026459906
ridge,S3,0,perfect_prog,3,42,1115,1678.4877308276841,2265.3447149311537,-237.1500558443047,0.047891160695543694,0.06463191634523321,-0.006615517872994244,cap_roll,True,0.5298188027738506
ridge,S3,0,perfect_prog,4,42,664,1387.9790642539042,1889.3445950659666,-117.15286410259037,0.03941923526535194,0.053658243851293703,-0.003327194502427331,cap_roll,True,0.34215714116483853
ridge,S3,0,perfect_prog,5,42,848,1829.7112858147989,2491.000335946323,-405.02330936287643,0.0519640785512045,0.07074453001578554,-0.011502561874775982,cap_roll,True,0.5208625190739539
ridge,S3,0,perfect_prog,6,42,1288,1746.6723123293364,2495.829397474159,156.56871582100095,0.04863326843249505,0.0696260142720461,0.003932299601864359,cap_roll,True,0.5203285866913097
ridge,S3,0,perfect_prog,7,42,1140,1738.6166281241697,2344.0766592718705,-281.45403158807716,0.04602209196643733,0.062046347971774274,-0.007443602333210782,cap_roll,True,0.49650544007747976
ridge,S3,0,perfect_prog,8,42,681,1231.3003095512493,1823.0336849265138,-69.70505938200908,0.03257944860696133,0.04823634964281685,-0.00184435298372418,cap_roll,True,0.4833379000442086
ridge,S3,0,perfect_prog,9,42,821,2199.5165284338877,3013.854179849058,-1135.4837457473443,0.05818459465320835,0.07972596799535481,-0.030036721563208225,cap_roll,True,0.4372651443916922
ridge,S3,0,perfect_prog,10,42,1274,2260.1060724793656,3066.063168803071,-1180.980636388016,0.05850432738737629,0.07947495463389868,-0.030636144018863696,cap_roll,True,0.3952916226420574
ridge,S3,0,perfect_prog,11,42,1166,1885.202733587595,2552.801636198112,-959.9159554388557,0.045515884979251485,0.061672833506810305,-0.023114289839293044,cap_roll,True,0.5573297169401612
ridge,S3,0,perfect_prog,12,42,696,1639.7677959049845,2242.540840045921,-255.89852326568314,0.038888386346440706,0.05318362441509415,-0.006068835272342526,cap_roll,True,0.30768307796356364
