stratum_type,model,featureset,context_rows,stratum,n,mae,rmse,mbe,nmae,nrmse,nmbe,normaliser,daylight_only
month,ridge,S3,0,1,539,1424.7447700428916,2123.032942746881,420.9151061964885,0.03943861276155607,0.057922329621795575,0.012146053402670337,cap_roll,True
month,ridge,S3,0,2,747,1734.073637526374,2466.61015417039,-1096.9299565435058,0.049915452264865004,0.07182942950216072,-0.03171191998835599,cap_roll,True
month,ridge,S3,0,3,995,2292.5405911738444,3061.1858397512956,-1357.4910239832293,0.06578305146176829,0.0876443784423959,-0.03931205827773845,cap_roll,True
month,ridge,S3,0,4,1137,1969.3237888960277,2697.7690064847848,-780.9407539032657,0.05577990091566269,0.07621322515877074,-0.022149046167762622,cap_roll,True
month,ridge,S3,0,5,1325,1813.16203140251,2563.7342317431026,-769.2194899943007,0.05053873938381738,0.0712786318810511,-0.021300995934667107,cap_roll,True
month,ridge,S3,0,6,1350,1924.3778819622714,2691.906541374702,-162.61899303781803,0.05246454848899857,0.07255383661706337,-0.0036006037760165943,cap_roll,True
month,ridge,S3,0,7,1385,1768.0406838937606,2356.0496340858235,162.79078750308486,0.047208076314957784,0.06279259399089722,0.005015339073232704,cap_roll,True
month,ridge,S3,0,8,1219,1563.1454838157247,2104.0858144392037,-265.02190558422063,0.0408130047030389,0.05471637103596943,-0.006031717863824145,cap_roll,True
month,ridge,S3,0,9,1022,1890.9747965394727,2561.7582138723797,-1216.962482183542,0.04926589543081335,0.06648563938431407,-0.03169083797856481,cap_roll,True
month,ridge,S3,0,10,876,1766.2222073543926,2391.3629161545255,-1260.685485004104,0.04639044017428185,0.06306173671520096,-0.033237684576900746,cap_roll,True
month,ridge,S3,0,11,694,1331.3874608262222,1898.4456265602025,134.63782667401387,0.034322091885980455,0.04841132952172187,0.002655339333802291,cap_roll,True
month,ridge,S3,0,12,582,1411.8694401656765,1937.339356403407,591.9173177359283,0.03737205324537834,0.051792357115713075,0.016202126051786073,cap_roll,True
kt_bin,ridge,S3,0,bedeckt,453,1008.4670431151566,1379.4415601758885,-545.1298344089398,0.027613206323568954,0.03772424222940223,-0.015052824361781047,cap_roll,True
kt_bin,ridge,S3,0,teilbewölkt,5297,1813.9281770282869,2517.8159166373853,-462.33549919270524,0.048904304683654316,0.06769562548191088,-0.012275199714818346,cap_roll,True
kt_bin,ridge,S3,0,klar,6121,1813.1538444935966,2495.216006912674,-552.481820816599,0.049885361925433254,0.06898370907821993,-0.0152464045115781,cap_roll,True
hour,ridge,S3,0,4,282,513.4333484971369,639.059918426769,-111.96166778612663,0.01394039181194845,0.017213861893373823,-0.002735757363143958,cap_roll,True
hour,ridge,S3,0,5,497,661.722103394654,846.337998765211,77.85224575924573,0.018096459662435022,0.023138698363579242,0.0024233788543424695,cap_roll,True
hour,ridge,S3,0,6,687,1012.1266852719268,1299.6885933667595,-406.4803041065884,0.027428377333166845,0.03508311253320094,-0.01082578417885334,cap_roll,True
hour,ridge,S3,0,7,869,1533.719350469378,2005.2295894698589,-933.73372729659,0.04173043434016155,0.054401857624442114,-0.02536895090793682,cap_roll,True
hour,ridge,S3,0,8,1080,1847.497277371215,2431.4053702155375,-963.3957135205944,0.050291688395500855,0.06621488367753907,-0.026216875372784703,cap_roll,True
hour,ridge,S3,0,9,1080,2217.6524757615402,2877.7370396670276,-836.1586699385407,0.06038251263753934,0.07857584791096887,-0.022726035180074683,cap_roll,True
hour,ridge,S3,0,10,1080,2461.5446558755116,3133.2423386207774,-618.2483160605195,0.06695654716946758,0.08541982461636581,-0.016831063498352818,cap_roll,True
hour,ridge,S3,0,11,1080,2529.1664485413366,3238.888906032445,-538.6865159675442,0.06898497582452073,0.08855083308021837,-0.014746004333575648,cap_roll,True
hour,ridge,S3,0,12,1080,2409.9730624963536,3147.4084835347585,-655.9441239030704,0.06569501725173914,0.08599055757438905,-0.01801714612602373,cap_roll,True
hour,ridge,S3,0,13,1080,2189.3394285363743,2937.6810668502735,-747.5956949847246,0.059813065135467545,0.08037150389426775,-0.020624684995809904,cap_roll,True
hour,ridge,S3,0,14,1011,1732.1702387285952,2423.4869916478237,-664.3269174356702,0.04729748870391819,0.06618142911630143,-0.01822588363776492,cap_roll,True
hour,ridge,S3,0,15,795,1277.255610422837,1764.9830667872952,-295.6785231007934,0.03489562773097246,0.048051167937701526,-0.00793230349739751,cap_roll,True
hour,ridge,S3,0,16,620,1014.1014959206148,1273.1305889242071,444.82749894462796,0.027716528105813768,0.03477556508760726,0.012398064532381566,cap_roll,True
hour,ridge,S3,0,17,429,917.6611097846671,1192.3143325126769,710.1303663157026,0.02520955970797563,0.0329112463386195,0.019639285753848965,cap_roll,True
hour,ridge,S3,0,18,201,622.2959538019038,762.4568708420812,203.79274979290935,0.017006798573634067,0.020910915500508553,0.0059768274721561715,cap_roll,True
cf_quantile,ridge,S3,0,Q1,2374,837.4149923669196,1274.5869804311603,434.6842314386255,0.02261749488866492,0.034258005982666935,0.011791903703972333,cap_roll,True
cf_quantile,ridge,S3,0,Q2,2374,1058.6917876659422,1384.7876891575308,267.9809155270178,0.028661998043559785,0.03724641916726593,0.0073068782297579455,cap_roll,True
cf_quantile,ridge,S3,0,Q3,2375,1648.8853930319535,2070.4685026334514,-387.8955472875699,0.044846404906015665,0.05620635924302584,-0.010216640500475086,cap_roll,True
cf_quantile,ridge,S3,0,Q4,2374,2458.9758191465585,3051.819057293193,-1003.7042110606623,0.06695116045827273,0.0831081709684039,-0.027181134334763636,cap_roll,True
cf_quantile,ridge,S3,0,Q5,2374,2910.050087402053,3662.857073239282,-1871.0014812383563,0.07991297469193029,0.10068806392290985,-0.051268693577071436,cap_roll,True
